epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97909,1.41045,3.38157,1.79096,0.00325,1,0.15102,0.08416,0.94223,4.0733,1.57889,7.145e-05,7.145e-05,7.145e-05
2,11.5935,1.46173,3.56094,1.91535,0.00329,1,0.22634,0.15975,0.764,3.9383,1.35258,0.000155634,0.000155634,0.000155634
3,17.2839,1.44279,3.19986,1.83642,0.00335,1,0.33759,0.24329,0.7222,3.82434,1.35681,0.00023812,0.00023812,0.00023812
4,22.8051,1.04117,2.93271,1.46572,0.00333,1,0.45229,0.20557,0.84212,3.76978,1.47351,0.000318909,0.000318909,0.000318909
5,28.0824,1.14609,2.86242,1.73785,0.0033,1,0.40353,0.21064,0.8383,3.69458,1.52558,0.000397999,0.000397999,0.000397999
6,33.4238,1.13573,2.48322,1.44867,0.00332,1,0.49937,0.24829,0.81785,3.49274,1.58524,0.000475393,0.000475393,0.000475393
7,38.9066,1.04905,2.53338,1.42665,0.33598,0.58333,0.51333,0.30526,0.8927,3.39542,1.79281,0.000551088,0.000551088,0.000551088
8,44.3539,1.22438,2.39656,1.57672,0.33598,0.58333,0.51333,0.30526,0.8927,3.39542,1.79281,0.000625086,0.000625086,0.000625086
9,49.8935,1.07571,2.46472,1.48531,0.37608,0.63725,0.55433,0.35515,0.97865,3.29877,1.83535,0.000697386,0.000697386,0.000697386
10,55.2343,1.03407,2.51182,1.51507,0.47077,0.5636,0.70148,0.50663,0.95342,3.1671,1.59197,0.000767989,0.000767989,0.000767989
11,60.435,1.21922,2.37909,1.50418,0.47077,0.5636,0.70148,0.50663,0.95342,3.1671,1.59197,0.000836894,0.000836894,0.000836894
12,66.2693,0.92509,2.13327,1.35178,0.60387,0.57344,0.67681,0.49534,0.96028,2.85497,1.73033,0.000904101,0.000904101,0.000904101
13,72.2449,1.12227,2.278,1.54516,0.60387,0.57344,0.67681,0.49534,0.96028,2.85497,1.73033,0.000969611,0.000969611,0.000969611
14,77.5561,0.93083,2.24413,1.35569,0.60387,0.57344,0.67681,0.49534,0.96028,2.85497,1.73033,0.00103342,0.00103342,0.00103342
15,83.0687,1.1205,2.30016,1.47728,0.62705,0.81264,0.79125,0.52167,0.98676,2.71201,1.77854,0.00109554,0.00109554,0.00109554
16,88.367,1.12707,2.20949,1.38048,0.62705,0.81264,0.79125,0.52167,0.98676,2.71201,1.77854,0.00115595,0.00115595,0.00115595
17,93.7812,0.94507,2.23201,1.36788,0.71227,0.82597,0.86802,0.57693,1.12617,2.49237,1.8525,0.00120265,0.00120265,0.00120265
18,99.1738,1.19292,2.55195,1.61011,0.71227,0.82597,0.86802,0.57693,1.12617,2.49237,1.8525,0.0011885,0.0011885,0.0011885
19,104.495,1.05037,2.09682,1.40235,0.71227,0.82597,0.86802,0.57693,1.12617,2.49237,1.8525,0.00117435,0.00117435,0.00117435
20,110.17,0.97785,2.05342,1.38057,0.78266,0.9838,0.88944,0.64196,1.12204,2.40257,1.97813,0.00116021,0.00116021,0.00116021
21,115.624,1.366,2.43946,2.0364,0.78266,0.9838,0.88944,0.64196,1.12204,2.40257,1.97813,0.00114606,0.00114606,0.00114606
